address|city|customerId|customerName|phoneNumber|state
55752 Washington|Washington|552-34-5852|Aaron Horn|973-100-2212|Newfoundland
53875 San Francisco|San Francisco|487-24-2177|Autumn Bell|105-254-710|Rhode Island
07049 Miami|Miami|445-49-8573|Layla Webb|269-548-616|Oklahoma
34445 Washington|Washington|745-24-2770|Xavier Cantu|032-347-184|Wisconsin
91199 New York|New York|390-02-7934|Colton Hubbard|813-134-3511|Louisiana
95637 San Francisco|San Francisco|518-84-7764|Autumn Cantu|444-402-4894|Florida
49876 San Francisco|San Francisco|285-52-8365|Alexis Shepherd|440-885-369|Alabama
06429 San Francisco|San Francisco|025-29-8166|Brooklyn Robles|911-444-9872|Guam
13265 San Francisco|San Francisco|011-60-9573|Matthew Mcmillan|834-878-166|Ohio
46615 San Francisco|San Francisco|349-54-7349|Anna Wolf|525-384-7404|Nova Scotia
64881 Washington|Washington|593-99-6828|Emily Nelson|313-495-6318|Georgia
94516 San Francisco|San Francisco|228-61-1226|Ava Estrada|839-777-374|North Dakota
37238 New York|New York|739-61-4775|Nevaeh Emerson|967-333-091|Guam
79198 Washington|Washington|299-53-9239|Alyssa Bonner|763-222-1281|West Virginia
99886 Washington|Washington|622-19-9345|Lucas Solomon|124-338-9263|West Virginia
90720 Washington|Washington|345-88-8833|Layla Montgomery|685-749-7067|Alabama
59974 San Francisco|San Francisco|267-08-0174|Peyton Rodriguez|332-219-7404|Kentucky
90334 San Francisco|San Francisco|214-92-7372|Ethan Koch|620-804-6515|British Columbia
56938 Washington|Washington|567-46-1032|Josiah Ashley|942-259-7461|Nunavut
11723 Miami|Miami|693-63-0386|Sydney Lewis|456-556-750|Missouri
62190 San Francisco|San Francisco|364-70-8952|Allison Ballard|348-489-6061|Nevada
81041 New York|New York|687-17-7689|Genesis Knight|416-265-4402|Georgia
21985 Miami|Miami|092-89-6001|Ella Boyle|932-580-798|New Brunswick
20091 New York|New York|829-27-6048|Layla Haney|763-264-0126|New Hampshire
63141 San Francisco|San Francisco|114-63-2600|Kevin Montgomery|528-285-641|Nunavut
13563 Washington|Washington|561-71-6699|Layla Baird|424-666-4599|Ontario
37800 Miami|Miami|022-37-1537|Juan Woods|014-821-7848|Manitoba
02784 San Francisco|San Francisco|314-66-3373|Damian Weber|914-556-781|Manitoba
93292 New York|New York|196-28-8884|Alexis Andrews|766-424-3577|Virgin Islands
12729 New York|New York|167-01-1403|Annabelle Charles|825-956-476|Missouri
84617 Miami|Miami|296-99-1839|Ashley Allison|077-587-150|South Dakota
01151 Miami|Miami|287-09-5642|Adrian Kerr|486-409-867|Rhode Island
28713 Miami|Miami|539-53-0138|Cameron Doyle|901-713-4660|New York
25490 Washington|Washington|744-18-6190|Sophie Ford|343-211-5621|Louisiana
29011 San Francisco|San Francisco|234-46-0085|Xavier Stark|655-562-100|Tennessee
30473 San Francisco|San Francisco|226-73-0427|Hunter Franco|261-595-1345|Mississippi
24528 Washington|Washington|887-99-8015|Madelyn Hebert|797-035-677|Puerto Rico
